age,job,marital,education,default_status,balance,housing,loan,contact,day,month,duration_minutes,campaign,previous,poutcome,y,pdays,Cluster
36,admin.,divorced,secondary,no,506.0,yes,no,unknown,5,may,9.62,1,0,unknown,no,-1,1
37,admin.,single,secondary,no,0.0,yes,no,unknown,5,may,2.28,1,0,unknown,no,-1,1
44,services,divorced,secondary,no,2586.0,yes,no,unknown,5,may,2.67,1,0,unknown,no,-1,1
50,management,married,secondary,no,49.0,yes,no,unknown,5,may,3.0,2,0,unknown,no,-1,1
60,blue-collar,married,unknown,no,104.0,yes,no,unknown,5,may,0.37,1,0,unknown,no,-1,1
54,retired,married,secondary,no,529.0,yes,no,unknown,5,may,24.87,1,0,unknown,no,-1,3
58,retired,married,unknown,no,96.0,yes,no,unknown,5,may,10.27,1,0,unknown,no,-1,1
36,admin.,single,primary,no,-171.0,yes,no,unknown,5,may,4.03,1,0,unknown,no,-1,1
58,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5,may,5.92,1,0,unknown,no,-1,1
44,technician,married,secondary,no,0.0,yes,no,unknown,5,may,3.75,2,0,unknown,no,-1,1
55,technician,divorced,secondary,no,0.0,no,no,unknown,5,may,2.67,1,0,unknown,no,-1,1
29,management,single,tertiary,no,0.0,yes,no,unknown,5,may,6.05,1,0,unknown,no,-1,1
54,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5,may,4.43,1,0,unknown,no,-1,1
48,management,divorced,tertiary,no,-244.0,yes,no,unknown,5,may,4.22,1,0,unknown,no,-1,1
32,management,married,tertiary,no,0.0,yes,no,unknown,5,may,2.98,1,0,unknown,no,-1,1
42,admin.,single,secondary,no,-76.0,yes,no,unknown,5,may,13.12,1,0,unknown,no,-1,3
24,technician,single,secondary,no,-103.0,yes,yes,unknown,5,may,2.42,1,0,unknown,no,-1,1
38,entrepreneur,single,tertiary,no,243.0,no,yes,unknown,5,may,2.9,1,0,unknown,no,-1,1
38,management,single,tertiary,no,424.0,yes,no,unknown,5,may,1.73,1,0,unknown,no,-1,1
47,blue-collar,married,unknown,no,306.0,yes,no,unknown,5,may,0.22,1,0,unknown,no,-1,1
40,blue-collar,single,unknown,no,24.0,yes,no,unknown,5,may,3.08,1,0,unknown,no,-1,1
46,services,married,primary,no,179.0,yes,no,unknown,5,may,29.63,1,0,unknown,no,-1,3
32,admin.,married,tertiary,no,0.0,yes,no,unknown,5,may,2.3,1,0,unknown,no,-1,1
53,technician,divorced,secondary,no,989.0,yes,no,unknown,5,may,13.53,1,0,unknown,no,-1,3
57,blue-collar,married,primary,no,249.0,yes,no,unknown,5,may,2.73,1,0,unknown,no,-1,1
33,services,married,secondary,no,790.0,yes,no,unknown,5,may,6.52,1,0,unknown,no,-1,1
49,blue-collar,married,unknown,no,154.0,yes,no,unknown,5,may,5.95,1,0,unknown,no,-1,1
51,management,married,tertiary,no,6530.0,yes,no,unknown,5,may,1.52,1,0,unknown,no,-1,1
60,retired,married,tertiary,no,100.0,no,no,unknown,5,may,8.8,1,0,unknown,no,-1,1
59,management,divorced,tertiary,no,59.0,yes,no,unknown,5,may,4.55,1,0,unknown,no,-1,1
55,technician,married,secondary,no,1205.0,yes,no,unknown,5,may,2.63,2,0,unknown,no,-1,1
35,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5,may,2.95,1,0,unknown,no,-1,1
57,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5,may,4.3,1,0,unknown,no,-1,1
31,services,married,secondary,no,25.0,yes,yes,unknown,5,may,2.87,1,0,unknown,no,-1,1
54,management,married,secondary,no,282.0,yes,yes,unknown,5,may,2.57,1,0,unknown,no,-1,1
55,blue-collar,married,primary,no,23.0,yes,no,unknown,5,may,4.85,1,0,unknown,no,-1,1
43,technician,married,secondary,no,1937.0,yes,no,unknown,5,may,3.02,1,0,unknown,no,-1,1
53,technician,married,secondary,no,384.0,yes,no,unknown,5,may,2.93,1,0,unknown,no,-1,1
44,blue-collar,married,secondary,no,582.0,no,yes,unknown,5,may,3.52,1,0,unknown,no,-1,1
55,services,divorced,secondary,no,91.0,no,no,unknown,5,may,5.82,1,0,unknown,no,-1,1
49,services,divorced,secondary,no,0.0,yes,yes,unknown,5,may,4.53,1,0,unknown,no,-1,1
55,services,divorced,secondary,yes,1.0,yes,no,unknown,5,may,3.47,1,0,unknown,no,-1,1
45,admin.,single,secondary,no,206.0,yes,no,unknown,5,may,3.22,1,0,unknown,no,-1,1
47,services,divorced,secondary,no,164.0,no,no,unknown,5,may,3.53,1,0,unknown,no,-1,1
42,technician,single,secondary,no,690.0,yes,no,unknown,5,may,0.33,1,0,unknown,no,-1,1
59,admin.,married,secondary,no,2343.0,yes,no,unknown,5,may,17.37,1,0,unknown,yes,-1,3
46,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5,may,4.1,1,0,unknown,no,-1,1
51,blue-collar,married,primary,no,173.0,yes,no,unknown,5,may,8.82,2,0,unknown,no,-1,1
56,admin.,married,secondary,no,45.0,no,no,unknown,5,may,24.45,1,0,unknown,yes,-1,3
41,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,23.15,1,0,unknown,yes,-1,3
46,management,divorced,secondary,no,16.0,yes,yes,unknown,5,may,3.13,2,0,unknown,no,-1,1
57,retired,married,secondary,no,486.0,yes,no,unknown,5,may,3.0,2,0,unknown,no,-1,1
42,management,single,secondary,no,50.0,no,no,unknown,5,may,0.8,1,0,unknown,no,-1,1
30,technician,married,secondary,no,152.0,yes,yes,unknown,5,may,3.55,2,0,unknown,no,-1,1
60,admin.,married,secondary,no,290.0,yes,no,unknown,5,may,9.72,1,0,unknown,no,-1,1
60,blue-collar,married,unknown,no,54.0,yes,no,unknown,5,may,3.68,1,0,unknown,no,-1,1
57,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5,may,2.88,1,0,unknown,no,-1,1
36,management,married,tertiary,no,101.0,yes,yes,unknown,5,may,7.1,1,0,unknown,no,-1,1
55,blue-collar,married,secondary,no,383.0,no,no,unknown,5,may,4.78,1,0,unknown,no,-1,1
60,retired,married,tertiary,no,81.0,yes,no,unknown,5,may,1.68,1,0,unknown,no,-1,1
39,technician,married,secondary,no,0.0,yes,no,unknown,5,may,3.38,1,0,unknown,no,-1,1
46,management,married,tertiary,no,229.0,yes,no,unknown,5,may,3.28,1,0,unknown,no,-1,1
44,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5,may,4.28,1,0,unknown,no,-1,1
53,blue-collar,married,primary,no,90.0,no,no,unknown,5,may,2.07,1,0,unknown,no,-1,1
52,blue-collar,married,primary,no,128.0,yes,no,unknown,5,may,3.82,1,0,unknown,no,-1,1
59,blue-collar,married,primary,no,179.0,yes,no,unknown,5,may,0.92,3,0,unknown,no,-1,1
27,technician,single,tertiary,no,0.0,yes,no,unknown,5,may,6.67,1,0,unknown,no,-1,1
44,blue-collar,married,secondary,no,54.0,yes,no,unknown,5,may,3.28,1,0,unknown,no,-1,1
47,technician,married,tertiary,no,151.0,yes,no,unknown,5,may,3.17,1,0,unknown,no,-1,1
34,admin.,married,secondary,no,61.0,no,yes,unknown,5,may,0.35,1,0,unknown,no,-1,1
59,retired,single,secondary,no,30.0,yes,no,unknown,5,may,8.57,1,0,unknown,no,-1,1
45,management,married,tertiary,no,523.0,yes,no,unknown,5,may,14.15,2,0,unknown,no,-1,3
29,services,divorced,secondary,no,31.0,yes,no,unknown,5,may,3.23,1,0,unknown,no,-1,1
46,technician,divorced,secondary,no,79.0,no,no,unknown,5,may,2.4,1,0,unknown,no,-1,1
56,self-employed,married,primary,no,-34.0,yes,yes,unknown,5,may,3.53,2,0,unknown,no,-1,1
36,blue-collar,married,primary,no,448.0,yes,no,unknown,5,may,4.77,1,0,unknown,no,-1,1
59,retired,divorced,primary,no,81.0,yes,no,unknown,5,may,1.78,1,0,unknown,no,-1,1
44,blue-collar,married,secondary,no,144.0,yes,no,unknown,5,may,4.12,2,0,unknown,no,-1,1
41,admin.,married,secondary,no,351.0,yes,no,unknown,5,may,8.63,1,0,unknown,no,-1,1
33,management,single,tertiary,no,-67.0,yes,no,unknown,5,may,6.07,1,0,unknown,no,-1,1
59,management,divorced,tertiary,no,262.0,no,no,unknown,5,may,2.97,1,0,unknown,no,-1,1
57,technician,married,primary,no,0.0,no,no,unknown,5,may,1.63,1,0,unknown,no,-1,1
56,technician,divorced,unknown,no,56.0,yes,no,unknown,5,may,7.32,1,0,unknown,no,-1,1
51,blue-collar,married,secondary,no,26.0,yes,no,unknown,5,may,1.32,1,0,unknown,no,-1,1
34,admin.,married,unknown,no,3.0,yes,no,unknown,5,may,2.0,3,0,unknown,no,-1,1
43,services,married,secondary,no,41.0,yes,yes,unknown,5,may,2.12,2,0,unknown,no,-1,1
52,technician,married,tertiary,no,7.0,no,yes,unknown,5,may,2.92,1,0,unknown,no,-1,1
33,technician,single,secondary,no,105.0,yes,no,unknown,5,may,4.37,2,0,unknown,no,-1,1
29,admin.,single,secondary,no,818.0,yes,yes,unknown,5,may,1.02,1,0,unknown,no,-1,1
34,services,married,secondary,no,-16.0,yes,yes,unknown,5,may,1.3,1,0,unknown,no,-1,1
31,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,2.38,1,0,unknown,no,-1,1
55,services,married,secondary,no,2476.0,yes,no,unknown,5,may,9.65,1,0,unknown,yes,-1,1
55,management,married,unknown,no,1185.0,no,no,unknown,5,may,11.28,1,0,unknown,no,-1,3
32,admin.,single,secondary,no,217.0,yes,no,unknown,5,may,5.75,1,0,unknown,no,-1,1
38,technician,single,secondary,no,1685.0,yes,no,unknown,5,may,3.08,1,0,unknown,no,-1,1
55,admin.,single,secondary,no,802.0,yes,yes,unknown,5,may,1.67,2,0,unknown,no,-1,1
28,unemployed,single,tertiary,no,0.0,yes,no,unknown,5,may,2.08,2,0,unknown,no,-1,1
23,blue-collar,married,secondary,no,94.0,yes,no,unknown,5,may,3.22,1,0,unknown,no,-1,1
32,technician,single,secondary,no,0.0,yes,no,unknown,5,may,2.27,1,0,unknown,no,-1,1
43,services,single,unknown,no,0.0,no,no,unknown,5,may,1.22,1,0,unknown,no,-1,1
32,blue-collar,married,secondary,no,517.0,yes,no,unknown,5,may,8.8,1,0,unknown,no,-1,1
46,blue-collar,married,secondary,no,265.0,yes,no,unknown,5,may,9.02,1,0,unknown,no,-1,1
53,housemaid,divorced,primary,no,947.0,yes,no,unknown,5,may,2.72,1,0,unknown,no,-1,1
34,self-employed,single,secondary,no,3.0,yes,no,unknown,5,may,5.02,1,0,unknown,no,-1,1
57,unemployed,married,tertiary,no,42.0,no,no,unknown,5,may,0.77,1,0,unknown,no,-1,1
37,blue-collar,married,secondary,no,37.0,yes,no,unknown,5,may,3.4,1,0,unknown,no,-1,1
59,blue-collar,married,secondary,no,57.0,yes,no,unknown,5,may,1.63,1,0,unknown,no,-1,1
33,services,married,secondary,no,22.0,yes,no,unknown,5,may,1.18,1,0,unknown,no,-1,1
56,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5,may,2.62,2,0,unknown,no,-1,1
48,unemployed,married,secondary,no,293.0,yes,no,unknown,5,may,4.05,1,0,unknown,no,-1,1
43,services,married,primary,no,3.0,yes,no,unknown,5,may,3.1,2,0,unknown,no,-1,1
54,blue-collar,married,primary,no,348.0,yes,no,unknown,5,may,9.65,2,0,unknown,no,-1,1
51,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5,may,2.72,2,0,unknown,no,-1,1
26,student,single,secondary,no,0.0,yes,no,unknown,5,may,10.17,2,0,unknown,no,-1,1
40,management,married,tertiary,no,-4.0,yes,no,unknown,5,may,33.88,1,0,unknown,no,-1,3
39,management,married,secondary,no,18.0,yes,no,unknown,5,may,1.42,1,0,unknown,no,-1,1
50,technician,married,primary,no,139.0,no,no,unknown,5,may,1.9,2,0,unknown,no,-1,1
41,services,married,secondary,no,0.0,yes,no,unknown,5,may,1.9,2,0,unknown,no,-1,1
51,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5,may,0.95,1,0,unknown,no,-1,1
60,retired,divorced,secondary,no,216.0,yes,no,unknown,5,may,3.97,1,0,unknown,no,-1,1
52,blue-collar,married,secondary,no,782.0,yes,no,unknown,5,may,1.55,3,0,unknown,no,-1,1
48,blue-collar,married,secondary,no,904.0,yes,no,unknown,5,may,2.13,2,0,unknown,no,-1,1
48,services,married,unknown,no,1705.0,yes,no,unknown,5,may,1.78,1,0,unknown,no,-1,1
39,technician,single,tertiary,no,47.0,yes,no,unknown,5,may,3.02,1,0,unknown,no,-1,1
47,services,single,secondary,no,176.0,yes,no,unknown,5,may,5.05,2,0,unknown,no,-1,1
40,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5,may,9.3,5,0,unknown,no,-1,1
45,technician,married,secondary,no,86.0,yes,no,unknown,5,may,4.5,1,0,unknown,no,-1,1
26,admin.,single,secondary,no,82.0,yes,no,unknown,5,may,3.8,1,0,unknown,no,-1,1
52,management,married,tertiary,no,271.0,yes,no,unknown,5,may,1.65,1,0,unknown,no,-1,1
54,technician,married,secondary,no,1378.0,yes,no,unknown,5,may,4.0,1,0,unknown,no,-1,1
54,admin.,married,tertiary,no,184.0,no,no,unknown,5,may,11.22,2,0,unknown,yes,-1,3
50,blue-collar,married,primary,no,0.0,no,no,unknown,5,may,3.88,3,0,unknown,no,-1,1
35,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,17.6,1,0,unknown,no,-1,3
44,services,married,secondary,no,1357.0,yes,yes,unknown,5,may,4.17,1,0,unknown,no,-1,1
53,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5,may,4.2,1,0,unknown,no,-1,1
35,retired,single,primary,no,434.0,no,no,unknown,5,may,2.3,1,0,unknown,no,-1,1
60,admin.,divorced,secondary,no,92.0,yes,no,unknown,5,may,2.17,1,0,unknown,no,-1,1
53,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5,may,6.87,1,0,unknown,no,-1,1
48,unemployed,married,secondary,no,41.0,yes,no,unknown,5,may,2.98,2,0,unknown,no,-1,1
34,technician,married,secondary,no,51.0,yes,no,unknown,5,may,0.32,2,0,unknown,no,-1,1
54,services,married,secondary,no,214.0,yes,no,unknown,5,may,7.63,2,0,unknown,no,-1,1
51,management,married,secondary,no,1161.0,yes,no,unknown,5,may,11.95,1,0,unknown,no,-1,3
31,services,married,tertiary,no,37.0,yes,no,unknown,5,may,5.22,1,0,unknown,no,-1,1
35,technician,divorced,secondary,no,787.0,yes,no,unknown,5,may,11.38,2,0,unknown,no,-1,3
35,services,married,secondary,no,59.0,yes,no,unknown,5,may,17.95,1,0,unknown,no,-1,3
38,technician,married,secondary,no,253.0,yes,no,unknown,5,may,6.93,1,0,unknown,no,-1,1
36,admin.,married,tertiary,no,211.0,yes,no,unknown,5,may,2.43,2,0,unknown,no,-1,1
58,retired,married,primary,no,235.0,yes,no,unknown,5,may,2.78,1,0,unknown,no,-1,1
40,services,divorced,unknown,no,4384.0,yes,no,unknown,5,may,5.25,1,0,unknown,no,-1,1
54,management,married,secondary,no,4080.0,no,no,unknown,5,may,2.33,1,0,unknown,no,-1,1
34,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5,may,5.77,1,0,unknown,no,-1,1
31,management,single,tertiary,no,0.0,yes,no,unknown,5,may,9.37,1,0,unknown,no,-1,1
51,retired,married,secondary,no,2127.0,yes,no,unknown,5,may,2.87,1,0,unknown,no,-1,1
33,management,married,tertiary,no,377.0,yes,no,unknown,5,may,3.62,1,0,unknown,no,-1,1
55,management,married,tertiary,no,73.0,yes,no,unknown,5,may,2.37,2,0,unknown,no,-1,1
42,admin.,married,secondary,no,445.0,yes,no,unknown,5,may,1.12,1,0,unknown,no,-1,1
34,blue-collar,married,secondary,no,243.0,yes,no,unknown,5,may,4.85,1,0,unknown,no,-1,1
33,blue-collar,single,secondary,no,307.0,yes,no,unknown,5,may,5.15,2,0,unknown,no,-1,1
38,services,married,secondary,no,155.0,yes,no,unknown,5,may,4.13,1,0,unknown,no,-1,1
50,technician,divorced,tertiary,no,173.0,no,yes,unknown,5,may,1.63,1,0,unknown,no,-1,1
43,management,married,tertiary,no,400.0,yes,no,unknown,5,may,4.27,1,0,unknown,no,-1,1
61,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5,may,1.37,2,0,unknown,no,-1,1
47,admin.,married,secondary,no,219.0,yes,no,unknown,5,may,9.62,1,0,unknown,no,-1,1
48,self-employed,married,tertiary,no,7.0,yes,no,unknown,5,may,4.77,1,0,unknown,no,-1,1
44,blue-collar,married,secondary,no,575.0,yes,no,unknown,5,may,7.95,1,0,unknown,no,-1,1
35,student,single,unknown,no,298.0,yes,no,unknown,5,may,10.18,2,0,unknown,no,-1,1
35,services,married,secondary,no,0.0,yes,no,unknown,5,may,7.85,1,0,unknown,no,-1,1
50,services,married,secondary,no,5699.0,yes,no,unknown,5,may,6.35,2,0,unknown,no,-1,1
41,management,married,tertiary,no,176.0,yes,yes,unknown,5,may,0.7,1,0,unknown,no,-1,1
41,management,married,tertiary,no,517.0,yes,no,unknown,5,may,4.18,1,0,unknown,no,-1,1
39,services,single,unknown,no,257.0,yes,no,unknown,5,may,6.8,1,0,unknown,no,-1,1
42,retired,married,secondary,no,56.0,yes,no,unknown,5,may,3.58,1,0,unknown,no,-1,1
38,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5,may,4.78,1,0,unknown,no,-1,1
53,retired,married,secondary,no,330.0,yes,no,unknown,5,may,3.6,2,0,unknown,no,-1,1
59,housemaid,divorced,primary,no,195.0,no,no,unknown,5,may,6.1,2,0,unknown,no,-1,1
36,services,married,secondary,no,301.0,yes,no,unknown,5,may,3.5,1,0,unknown,no,-1,1
54,blue-collar,married,primary,no,-41.0,yes,no,unknown,5,may,4.8,1,0,unknown,no,-1,1
40,technician,married,tertiary,no,483.0,yes,no,unknown,5,may,2.8,1,0,unknown,no,-1,1
47,unknown,married,unknown,no,28.0,no,no,unknown,5,may,5.63,2,0,unknown,no,-1,1
53,unemployed,married,unknown,no,13.0,no,no,unknown,5,may,6.83,3,0,unknown,no,-1,1
46,housemaid,married,primary,no,965.0,no,no,unknown,5,may,2.95,1,0,unknown,no,-1,1
39,management,married,tertiary,no,378.0,yes,yes,unknown,5,may,2.12,2,0,unknown,no,-1,1
40,unemployed,married,secondary,no,219.0,yes,no,unknown,5,may,5.95,1,0,unknown,no,-1,1
28,blue-collar,married,primary,no,324.0,yes,no,unknown,5,may,2.92,1,0,unknown,no,-1,1
35,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5,may,5.0,1,0,unknown,no,-1,1
55,retired,married,secondary,no,0.0,no,yes,unknown,5,may,2.27,1,0,unknown,no,-1,1
43,technician,divorced,unknown,no,205.0,yes,no,unknown,5,may,23.65,1,0,unknown,no,-1,3
48,blue-collar,married,primary,no,278.0,yes,no,unknown,5,may,2.08,2,0,unknown,no,-1,1
58,management,married,unknown,no,1065.0,yes,no,unknown,5,may,3.55,3,0,unknown,no,-1,1
33,management,single,tertiary,no,34.0,yes,no,unknown,5,may,0.45,1,0,unknown,no,-1,1
36,blue-collar,married,unknown,no,1033.0,no,no,unknown,5,may,3.97,2,0,unknown,no,-1,1
53,services,divorced,secondary,no,1467.0,yes,no,unknown,5,may,2.07,1,0,unknown,no,-1,1
47,blue-collar,married,primary,no,-12.0,yes,no,unknown,5,may,0.3,1,0,unknown,no,-1,1
31,services,married,secondary,no,388.0,yes,no,unknown,5,may,12.17,2,0,unknown,no,-1,3
57,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5,may,12.43,2,0,unknown,no,-1,3
53,blue-collar,married,unknown,no,1827.0,no,no,unknown,5,may,2.02,1,0,unknown,no,-1,1
55,blue-collar,married,primary,no,627.0,yes,no,unknown,5,may,4.12,1,0,unknown,no,-1,1
45,blue-collar,married,primary,no,25.0,yes,no,unknown,5,may,0.67,1,0,unknown,no,-1,1
53,admin.,divorced,secondary,no,315.0,yes,no,unknown,5,may,3.02,2,0,unknown,no,-1,1
37,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,1.32,1,0,unknown,no,-1,1
44,admin.,divorced,secondary,no,66.0,yes,no,unknown,5,may,3.43,1,0,unknown,no,-1,1
49,blue-collar,divorced,primary,no,-9.0,yes,yes,unknown,5,may,6.48,1,0,unknown,no,-1,1
46,technician,married,secondary,no,349.0,yes,yes,unknown,5,may,2.12,1,0,unknown,no,-1,1
43,entrepreneur,married,unknown,no,100.0,yes,no,unknown,5,may,11.7,1,0,unknown,no,-1,3
38,admin.,married,secondary,no,0.0,no,no,unknown,5,may,2.52,1,0,unknown,no,-1,1
43,technician,married,secondary,no,434.0,yes,no,unknown,5,may,1.95,1,0,unknown,no,-1,1
49,management,married,tertiary,no,3237.0,yes,no,unknown,5,may,3.87,3,0,unknown,no,-1,1
42,management,married,unknown,no,275.0,no,no,unknown,5,may,6.8,2,0,unknown,no,-1,1
22,blue-collar,single,secondary,no,0.0,yes,no,unknown,5,may,2.98,2,0,unknown,no,-1,1
40,management,married,tertiary,no,207.0,yes,no,unknown,5,may,0.65,1,0,unknown,no,-1,1
39,blue-collar,married,secondary,no,483.0,yes,no,unknown,5,may,4.7,1,0,unknown,no,-1,1
51,services,married,secondary,no,2248.0,yes,no,unknown,5,may,11.9,2,0,unknown,no,-1,3
49,admin.,married,secondary,no,428.0,yes,no,unknown,5,may,0.83,1,0,unknown,no,-1,1
53,blue-collar,married,secondary,no,0.0,yes,yes,unknown,5,may,3.02,1,0,unknown,no,-1,1
34,services,single,secondary,no,0.0,yes,no,unknown,5,may,2.37,1,0,unknown,no,-1,1
33,technician,divorced,secondary,no,140.0,yes,no,unknown,5,may,3.78,1,0,unknown,no,-1,1
50,management,single,tertiary,no,297.0,yes,no,unknown,5,may,1.98,1,0,unknown,no,-1,1
39,blue-collar,married,primary,no,279.0,yes,no,unknown,5,may,6.02,1,0,unknown,no,-1,1
59,entrepreneur,divorced,secondary,no,901.0,yes,no,unknown,5,may,1.22,3,0,unknown,no,-1,1
30,technician,single,secondary,no,2573.0,yes,no,unknown,5,may,1.12,2,0,unknown,no,-1,1
36,services,married,secondary,no,143.0,yes,yes,unknown,5,may,5.83,1,0,unknown,no,-1,1
40,blue-collar,married,secondary,no,475.0,yes,no,unknown,5,may,5.53,2,0,unknown,no,-1,1
53,blue-collar,married,secondary,no,70.0,yes,no,unknown,5,may,10.18,2,0,unknown,no,-1,1
34,management,single,tertiary,no,318.0,yes,no,unknown,5,may,1.88,2,0,unknown,no,-1,1
37,technician,married,secondary,no,275.0,yes,no,unknown,5,may,2.2,1,0,unknown,no,-1,1
42,management,divorced,tertiary,no,742.0,yes,no,unknown,5,may,0.97,3,0,unknown,no,-1,1
41,entrepreneur,married,primary,no,236.0,yes,no,unknown,5,may,2.52,1,0,unknown,no,-1,1
30,student,single,tertiary,no,25.0,yes,no,unknown,5,may,1.48,2,0,unknown,no,-1,1
37,management,single,tertiary,no,600.0,yes,no,unknown,5,may,2.53,1,0,unknown,no,-1,1
39,admin.,divorced,secondary,no,-349.0,yes,no,unknown,5,may,10.18,2,0,unknown,no,-1,1
41,blue-collar,married,primary,no,183.0,yes,yes,unknown,5,may,1.83,2,0,unknown,no,-1,1
40,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,7.72,1,0,unknown,no,-1,1
42,management,single,tertiary,no,0.0,yes,yes,unknown,5,may,9.37,2,0,unknown,yes,-1,1
40,blue-collar,divorced,primary,no,0.0,yes,no,unknown,5,may,16.03,1,0,unknown,no,-1,3
57,technician,married,secondary,no,1078.0,yes,no,unknown,5,may,0.17,4,0,unknown,no,-1,1
56,entrepreneur,divorced,secondary,no,155.0,no,no,unknown,5,may,1.97,3,0,unknown,no,-1,1
37,admin.,married,secondary,no,190.0,yes,no,unknown,5,may,1.53,2,0,unknown,no,-1,1
